entry_time,exit_time,qty,pnl,reason
2025-02-04 09:30:00-05:00,2025-02-04 15:45:00-05:00,1,185.875,session_eod
2025-02-05 09:30:00-05:00,2025-02-05 09:45:00-05:00,1,-51.0,stop
2025-02-05 12:00:00-05:00,2025-02-05 15:45:00-05:00,1,63.6875,session_eod
2025-02-06 09:30:00-05:00,2025-02-06 10:30:00-05:00,1,-51.0,stop
2025-02-06 10:45:00-05:00,2025-02-06 14:15:00-05:00,1,9.9375,signal
2025-02-07 09:30:00-05:00,2025-02-07 10:00:00-05:00,1,-51.0,stop
2025-02-11 09:30:00-05:00,2025-02-11 10:00:00-05:00,1,13.0625,signal
2025-02-11 14:15:00-05:00,2025-02-11 15:45:00-05:00,1,30.5625,session_eod
2025-02-12 09:30:00-05:00,2025-02-12 09:45:00-05:00,1,60.25,signal
2025-02-12 13:15:00-05:00,2025-02-12 14:00:00-05:00,1,-51.0,stop
2025-02-12 14:15:00-05:00,2025-02-12 15:45:00-05:00,1,21.5,session_eod
2025-02-14 09:30:00-05:00,2025-02-14 12:30:00-05:00,1,-51.0,stop
2025-02-14 12:45:00-05:00,2025-02-14 13:00:00-05:00,1,12.125,signal
2025-02-14 14:45:00-05:00,2025-02-14 15:30:00-05:00,1,-22.875,signal
2025-02-14 15:45:00-05:00,2025-02-14 15:45:00-05:00,1,-8.5,session_eod
2025-02-17 09:30:00-05:00,2025-02-17 12:45:00-05:00,1,23.0625,session_eod
2025-02-19 10:15:00-05:00,2025-02-19 15:45:00-05:00,1,150.25,session_eod
2025-02-20 14:30:00-05:00,2025-02-20 15:45:00-05:00,1,67.125,session_eod
2025-02-25 09:30:00-05:00,2025-02-25 13:45:00-05:00,-1,84.625,signal
2025-02-26 13:30:00-05:00,2025-02-26 15:30:00-05:00,-1,-51.0,stop
2025-02-26 15:45:00-05:00,2025-02-26 15:45:00-05:00,-1,3.0625,session_eod
2025-02-27 09:30:00-05:00,2025-02-27 11:00:00-05:00,-1,98.0625,signal
