entry_time,exit_time,qty,pnl,reason
2025-02-03 11:00:00-05:00,2025-02-03 11:05:00-05:00,1,-31.0,stop
2025-02-03 11:10:00-05:00,2025-02-03 11:30:00-05:00,1,-31.0,stop
2025-02-03 11:35:00-05:00,2025-02-03 11:40:00-05:00,1,-31.0,stop
2025-02-03 11:45:00-05:00,2025-02-03 11:55:00-05:00,1,-31.0,stop
2025-02-03 12:00:00-05:00,2025-02-03 12:05:00-05:00,1,-31.0,stop
2025-02-03 12:10:00-05:00,2025-02-03 12:15:00-05:00,1,-3.8125,signal
2025-02-03 13:30:00-05:00,2025-02-03 13:40:00-05:00,1,-31.0,stop
2025-02-03 13:45:00-05:00,2025-02-03 15:30:00-05:00,1,14.0,signal
2025-02-04 10:10:00-05:00,2025-02-04 12:25:00-05:00,1,-31.0,stop
2025-02-04 13:35:00-05:00,2025-02-04 15:30:00-05:00,1,4.3125,signal
2025-02-05 12:00:00-05:00,2025-02-05 13:25:00-05:00,1,-31.0,stop
2025-02-05 13:30:00-05:00,2025-02-05 15:55:00-05:00,1,72.75,session_eod
2025-02-06 09:30:00-05:00,2025-02-06 09:35:00-05:00,1,-31.0,stop
2025-02-06 09:40:00-05:00,2025-02-06 10:25:00-05:00,1,-31.0,stop
2025-02-06 10:30:00-05:00,2025-02-06 10:35:00-05:00,1,-31.0,stop
2025-02-06 10:40:00-05:00,2025-02-06 10:45:00-05:00,1,-31.0,stop
2025-02-06 10:50:00-05:00,2025-02-06 10:55:00-05:00,1,-0.0625,signal
2025-02-06 11:30:00-05:00,2025-02-06 11:45:00-05:00,1,-31.0,stop
2025-02-06 11:50:00-05:00,2025-02-06 12:15:00-05:00,1,-31.0,stop
2025-02-06 12:20:00-05:00,2025-02-06 12:30:00-05:00,1,-31.0,stop
2025-02-06 12:55:00-05:00,2025-02-06 13:55:00-05:00,1,-31.0,stop
2025-02-07 09:30:00-05:00,2025-02-07 10:00:00-05:00,1,-31.0,stop
2025-02-07 15:00:00-05:00,2025-02-07 15:55:00-05:00,-1,-4.4375,session_eod
2025-02-10 10:00:00-05:00,2025-02-10 11:35:00-05:00,1,14.9375,signal
2025-02-10 13:00:00-05:00,2025-02-10 15:20:00-05:00,1,11.8125,signal
2025-02-11 11:00:00-05:00,2025-02-11 11:55:00-05:00,1,-31.0,stop
2025-02-11 14:00:00-05:00,2025-02-11 15:55:00-05:00,1,15.25,signal
2025-02-12 10:00:00-05:00,2025-02-12 10:15:00-05:00,-1,-31.0,stop
2025-02-12 10:20:00-05:00,2025-02-12 10:25:00-05:00,-1,-31.0,stop
2025-02-12 10:30:00-05:00,2025-02-12 10:35:00-05:00,-1,-31.0,stop
2025-02-12 14:10:00-05:00,2025-02-12 14:30:00-05:00,-1,-31.0,stop
2025-02-12 14:35:00-05:00,2025-02-12 14:45:00-05:00,-1,-31.0,stop
2025-02-13 09:55:00-05:00,2025-02-13 11:55:00-05:00,1,74.0,signal
2025-02-13 13:55:00-05:00,2025-02-13 15:55:00-05:00,1,138.6875,session_eod
2025-02-14 09:30:00-05:00,2025-02-14 11:15:00-05:00,1,2.4375,signal
2025-02-14 13:30:00-05:00,2025-02-14 14:50:00-05:00,1,-9.75,signal
2025-02-17 10:05:00-05:00,2025-02-17 10:10:00-05:00,1,-4.4375,signal
2025-02-17 10:15:00-05:00,2025-02-17 12:50:00-05:00,1,29.625,signal
2025-02-17 12:55:00-05:00,2025-02-17 12:55:00-05:00,1,-2.875,session_eod
2025-02-19 09:30:00-05:00,2025-02-19 10:00:00-05:00,1,-31.0,stop
2025-02-19 11:00:00-05:00,2025-02-19 12:45:00-05:00,1,43.0625,signal
2025-02-19 13:35:00-05:00,2025-02-19 15:40:00-05:00,1,24.0,signal
2025-02-20 10:00:00-05:00,2025-02-20 10:05:00-05:00,-1,-31.0,stop
2025-02-20 10:10:00-05:00,2025-02-20 10:15:00-05:00,-1,-31.0,stop
2025-02-20 10:20:00-05:00,2025-02-20 12:15:00-05:00,-1,12.125,signal
2025-02-20 13:20:00-05:00,2025-02-20 13:35:00-05:00,-1,-31.0,stop
2025-02-20 13:40:00-05:00,2025-02-20 14:05:00-05:00,-1,-21.3125,signal
2025-02-21 10:00:00-05:00,2025-02-21 11:50:00-05:00,-1,76.5,signal
2025-02-21 12:15:00-05:00,2025-02-21 15:50:00-05:00,-1,284.9375,signal
2025-02-24 10:00:00-05:00,2025-02-24 10:10:00-05:00,-1,-31.0,stop
2025-02-24 10:15:00-05:00,2025-02-24 11:20:00-05:00,-1,-31.0,stop
2025-02-24 14:50:00-05:00,2025-02-24 15:55:00-05:00,-1,130.5625,session_eod
2025-02-25 09:30:00-05:00,2025-02-25 09:35:00-05:00,-1,-31.0,stop
2025-02-25 09:40:00-05:00,2025-02-25 11:55:00-05:00,-1,204.9375,signal
2025-02-25 12:00:00-05:00,2025-02-25 12:10:00-05:00,-1,5.875,signal
2025-02-25 14:20:00-05:00,2025-02-25 14:35:00-05:00,-1,-31.0,stop
2025-02-26 09:35:00-05:00,2025-02-26 09:40:00-05:00,-1,-31.0,stop
2025-02-26 14:00:00-05:00,2025-02-26 14:20:00-05:00,-1,-31.0,stop
2025-02-26 14:25:00-05:00,2025-02-26 14:35:00-05:00,-1,-31.0,stop
2025-02-26 14:40:00-05:00,2025-02-26 15:05:00-05:00,-1,52.4375,signal
2025-02-27 10:15:00-05:00,2025-02-27 10:20:00-05:00,-1,-31.0,stop
2025-02-27 10:25:00-05:00,2025-02-27 11:15:00-05:00,-1,-31.0,stop
2025-02-27 11:45:00-05:00,2025-02-27 12:30:00-05:00,-1,-31.0,stop
2025-02-27 12:35:00-05:00,2025-02-27 13:10:00-05:00,-1,-31.0,stop
2025-02-27 14:15:00-05:00,2025-02-27 15:55:00-05:00,-1,361.5,session_eod
2025-02-28 09:30:00-05:00,2025-02-28 09:35:00-05:00,-1,-31.0,stop
2025-02-28 09:40:00-05:00,2025-02-28 09:45:00-05:00,-1,-31.0,stop
2025-02-28 09:50:00-05:00,2025-02-28 09:55:00-05:00,-1,-31.0,stop
2025-02-28 10:00:00-05:00,2025-02-28 10:05:00-05:00,-1,-31.0,stop
2025-02-28 10:10:00-05:00,2025-02-28 10:15:00-05:00,-1,-31.0,stop
2025-02-28 10:20:00-05:00,2025-02-28 10:25:00-05:00,-1,-31.0,stop
2025-02-28 12:00:00-05:00,2025-02-28 12:05:00-05:00,-1,8.6875,signal
2025-02-28 12:30:00-05:00,2025-02-28 14:10:00-05:00,-1,112.125,signal
2025-03-03 14:00:00-05:00,2025-03-03 14:40:00-05:00,-1,-31.0,stop
2025-03-03 14:50:00-05:00,2025-03-03 15:55:00-05:00,-1,179.0,session_eod
2025-03-04 09:30:00-05:00,2025-03-04 09:35:00-05:00,-1,-31.0,stop
2025-03-04 09:40:00-05:00,2025-03-04 09:45:00-05:00,-1,-31.0,stop
2025-03-04 09:50:00-05:00,2025-03-04 11:50:00-05:00,-1,84.9375,signal
2025-03-05 10:00:00-05:00,2025-03-05 10:05:00-05:00,-1,-31.0,stop
2025-03-05 10:10:00-05:00,2025-03-05 12:20:00-05:00,-1,49.9375,signal
2025-03-06 10:00:00-05:00,2025-03-06 10:05:00-05:00,-1,-31.0,stop
2025-03-06 10:10:00-05:00,2025-03-06 10:15:00-05:00,-1,-31.0,stop
2025-03-06 10:20:00-05:00,2025-03-06 10:35:00-05:00,-1,-31.0,stop
2025-03-06 10:40:00-05:00,2025-03-06 10:50:00-05:00,-1,58.0625,signal
2025-03-06 11:45:00-05:00,2025-03-06 15:05:00-05:00,-1,211.5,signal
2025-03-07 10:30:00-05:00,2025-03-07 10:45:00-05:00,-1,-31.0,stop
2025-03-07 10:50:00-05:00,2025-03-07 12:40:00-05:00,-1,41.1875,signal
2025-03-10 10:00:00-04:00,2025-03-10 15:45:00-04:00,-1,333.375,signal
2025-03-11 10:15:00-04:00,2025-03-11 11:10:00-04:00,-1,-31.0,stop
2025-03-11 11:15:00-04:00,2025-03-11 11:20:00-04:00,-1,-31.0,stop
