entry_time,exit_time,qty,pnl,reason
2025-02-06 10:00:00-05:00,2025-02-06 10:35:00-05:00,1,-31.0,stop
2025-02-06 10:40:00-05:00,2025-02-06 10:45:00-05:00,1,-31.0,stop
2025-02-06 10:50:00-05:00,2025-02-06 11:30:00-05:00,1,36.1875,signal
2025-02-12 10:15:00-05:00,2025-02-12 10:20:00-05:00,-1,-31.0,stop
2025-02-12 10:25:00-05:00,2025-02-12 10:35:00-05:00,-1,-31.0,stop
2025-02-12 10:40:00-05:00,2025-02-12 11:30:00-05:00,-1,86.8125,signal
2025-02-14 10:15:00-05:00,2025-02-14 10:35:00-05:00,1,-31.0,stop
2025-02-14 10:40:00-05:00,2025-02-14 11:20:00-05:00,1,-31.0,stop
2025-02-14 11:25:00-05:00,2025-02-14 11:30:00-05:00,1,-3.8125,signal
2025-02-17 10:00:00-05:00,2025-02-17 11:30:00-05:00,1,32.75,signal
2025-02-20 10:25:00-05:00,2025-02-20 11:30:00-05:00,-1,44.0,signal
2025-02-24 11:15:00-05:00,2025-02-24 11:20:00-05:00,-1,-31.0,stop
2025-02-24 11:25:00-05:00,2025-02-24 11:30:00-05:00,-1,-31.0,stop
2025-02-27 10:10:00-05:00,2025-02-27 10:15:00-05:00,-1,-31.0,stop
2025-02-27 10:20:00-05:00,2025-02-27 10:25:00-05:00,-1,-31.0,stop
2025-02-27 10:30:00-05:00,2025-02-27 10:35:00-05:00,-1,-31.0,stop
2025-02-27 10:40:00-05:00,2025-02-27 10:45:00-05:00,-1,-31.0,stop
2025-02-27 10:50:00-05:00,2025-02-27 11:10:00-05:00,-1,-31.0,stop
2025-02-27 11:15:00-05:00,2025-02-27 11:20:00-05:00,-1,-31.0,stop
2025-02-27 11:25:00-05:00,2025-02-27 11:30:00-05:00,-1,16.1875,signal
2025-02-28 10:00:00-05:00,2025-02-28 10:05:00-05:00,-1,-31.0,stop
2025-02-28 10:10:00-05:00,2025-02-28 10:15:00-05:00,-1,-31.0,stop
2025-02-28 10:20:00-05:00,2025-02-28 10:25:00-05:00,-1,-31.0,stop
2025-02-28 10:30:00-05:00,2025-02-28 10:55:00-05:00,-1,-31.0,stop
2025-02-28 11:00:00-05:00,2025-02-28 11:30:00-05:00,-1,100.875,signal
2025-03-05 10:00:00-05:00,2025-03-05 10:05:00-05:00,-1,-31.0,stop
2025-03-05 10:10:00-05:00,2025-03-05 11:30:00-05:00,-1,218.6875,signal
2025-03-06 10:00:00-05:00,2025-03-06 10:05:00-05:00,-1,-31.0,stop
2025-03-06 10:10:00-05:00,2025-03-06 10:15:00-05:00,-1,-31.0,stop
2025-03-06 10:20:00-05:00,2025-03-06 10:35:00-05:00,-1,-31.0,stop
2025-03-06 10:40:00-05:00,2025-03-06 11:30:00-05:00,-1,30.25,signal
2025-03-07 10:00:00-05:00,2025-03-07 10:05:00-05:00,-1,-31.0,stop
2025-03-07 10:10:00-05:00,2025-03-07 11:30:00-05:00,-1,311.5,signal
2025-03-11 10:05:00-04:00,2025-03-11 10:10:00-04:00,-1,-31.0,stop
2025-03-11 10:15:00-04:00,2025-03-11 11:10:00-04:00,-1,-31.0,stop
2025-03-11 11:15:00-04:00,2025-03-11 11:20:00-04:00,-1,-31.0,stop
2025-03-11 11:25:00-04:00,2025-03-11 11:30:00-04:00,-1,-31.0,stop
2025-03-13 10:15:00-04:00,2025-03-13 10:25:00-04:00,-1,-31.0,stop
2025-03-13 10:30:00-04:00,2025-03-13 11:30:00-04:00,-1,149.9375,signal
2025-03-17 10:00:00-04:00,2025-03-17 10:05:00-04:00,1,-31.0,stop
2025-03-17 10:10:00-04:00,2025-03-17 10:25:00-04:00,1,-31.0,stop
2025-03-17 10:30:00-04:00,2025-03-17 10:35:00-04:00,1,-31.0,stop
2025-03-17 10:40:00-04:00,2025-03-17 10:50:00-04:00,1,-31.0,stop
2025-03-17 10:55:00-04:00,2025-03-17 11:00:00-04:00,1,-31.0,stop
2025-03-17 11:05:00-04:00,2025-03-17 11:30:00-04:00,1,-31.0,stop
2025-03-19 10:50:00-04:00,2025-03-19 11:30:00-04:00,1,39.9375,signal
2025-03-25 10:00:00-04:00,2025-03-25 11:30:00-04:00,1,51.5,signal
2025-03-27 10:00:00-04:00,2025-03-27 10:10:00-04:00,-1,-31.0,stop
2025-03-27 10:15:00-04:00,2025-03-27 10:25:00-04:00,-1,-31.0,stop
2025-03-27 10:30:00-04:00,2025-03-27 10:35:00-04:00,-1,-31.0,stop
