symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
MES,2025-02-04 10:10:00-05:00,2025-02-04 12:25:00-05:00,1,6050.0,6043.0,-36.0,stop
MES,2025-02-04 13:35:00-05:00,2025-02-04 15:30:00-05:00,1,6054.25,6058.25,19.0,signal
MES,2025-02-05 10:00:00-05:00,2025-02-05 10:05:00-05:00,-1,6031.25,6038.75,-38.5,stop
MES,2025-02-05 10:15:00-05:00,2025-02-05 10:20:00-05:00,-1,6040.5,6046.25,-29.75,signal
MES,2025-02-05 11:05:00-05:00,2025-02-05 11:10:00-05:00,1,6057.5,6053.5,-21.0,signal
MES,2025-02-05 11:25:00-05:00,2025-02-06 10:55:00-05:00,1,6057.5,6089.75,160.25,signal
MES,2025-02-06 11:30:00-05:00,2025-02-06 12:30:00-05:00,1,6097.75,6095.25,-13.5,signal
MES,2025-02-06 12:55:00-05:00,2025-02-06 13:55:00-05:00,1,6100.25,6095.25,-26.0,signal
MES,2025-02-06 15:40:00-05:00,2025-02-07 10:00:00-05:00,1,6094.25,6089.0,-27.25,signal
MES,2025-02-07 10:25:00-05:00,2025-02-07 10:30:00-05:00,-1,6086.75,6089.5,-14.75,signal
MES,2025-02-07 10:35:00-05:00,2025-02-07 10:45:00-05:00,-1,6088.5,6090.0,-8.5,signal
MES,2025-02-07 10:50:00-05:00,2025-02-07 10:55:00-05:00,-1,6058.75,6075.5,-84.75,stop
MES,2025-02-07 11:00:00-05:00,2025-02-07 11:05:00-05:00,-1,6061.75,6076.0,-72.25,stop
MES,2025-02-07 11:10:00-05:00,2025-02-07 11:15:00-05:00,-1,6065.5,6077.75,-62.25,stop
MES,2025-02-07 11:20:00-05:00,2025-02-07 13:00:00-05:00,-1,6071.25,6069.0,10.25,signal
MES,2025-02-07 14:05:00-05:00,2025-02-10 09:30:00-05:00,-1,6053.25,6075.75,-113.5,stop
MES,2025-02-10 09:35:00-05:00,2025-02-10 11:35:00-05:00,1,6072.25,6083.25,54.0,signal
MES,2025-02-10 11:45:00-05:00,2025-02-10 11:50:00-05:00,-1,6081.5,6083.75,-12.25,signal
MES,2025-02-10 12:00:00-05:00,2025-02-10 12:35:00-05:00,-1,6080.75,6082.75,-11.0,signal
MES,2025-02-10 12:45:00-05:00,2025-02-10 12:50:00-05:00,-1,6081.75,6086.25,-23.5,signal
MES,2025-02-10 13:00:00-05:00,2025-02-10 15:20:00-05:00,1,6088.75,6089.75,4.0,signal
MES,2025-02-11 09:30:00-05:00,2025-02-11 10:25:00-05:00,-1,6072.0,6081.5,-48.5,stop
MES,2025-02-11 10:30:00-05:00,2025-02-11 10:35:00-05:00,-1,6080.0,6083.25,-17.25,signal
MES,2025-02-11 10:50:00-05:00,2025-02-11 11:00:00-05:00,1,6091.5,6086.0,-28.5,signal
MES,2025-02-11 11:05:00-05:00,2025-02-11 11:25:00-05:00,1,6087.25,6085.25,-11.0,signal
MES,2025-02-11 11:35:00-05:00,2025-02-11 11:50:00-05:00,1,6088.25,6081.75,-33.5,stop
MES,2025-02-11 12:00:00-05:00,2025-02-11 12:20:00-05:00,-1,6076.75,6082.25,-28.5,signal
MES,2025-02-11 12:30:00-05:00,2025-02-11 13:30:00-05:00,-1,6081.0,6085.25,-22.25,signal
MES,2025-02-11 13:35:00-05:00,2025-02-11 13:55:00-05:00,1,6089.75,6085.75,-21.0,signal
MES,2025-02-11 14:00:00-05:00,2025-02-11 14:10:00-05:00,1,6087.75,6084.25,-18.5,signal
MES,2025-02-11 14:20:00-05:00,2025-02-11 15:55:00-05:00,1,6087.25,6092.25,24.0,signal
MES,2025-02-12 09:30:00-05:00,2025-02-12 09:40:00-05:00,-1,6034.75,6044.5,-49.75,stop
MES,2025-02-12 09:45:00-05:00,2025-02-12 10:20:00-05:00,-1,6050.0,6058.25,-42.25,stop
MES,2025-02-12 10:25:00-05:00,2025-02-12 10:35:00-05:00,-1,6053.0,6066.75,-69.75,stop
MES,2025-02-12 14:10:00-05:00,2025-02-12 14:30:00-05:00,-1,6065.75,6073.0,-37.25,stop
MES,2025-02-12 14:35:00-05:00,2025-02-12 14:45:00-05:00,-1,6073.5,6081.0,-38.5,stop
MES,2025-02-13 09:55:00-05:00,2025-02-13 11:55:00-05:00,1,6086.75,6099.25,61.5,signal
MES,2025-02-13 13:55:00-05:00,2025-02-14 11:15:00-05:00,1,6110.75,6133.75,114.0,signal
MES,2025-02-14 13:30:00-05:00,2025-02-14 14:50:00-05:00,1,6139.0,6135.75,-17.25,signal
MES,2025-02-17 10:05:00-05:00,2025-02-17 10:10:00-05:00,1,6139.5,6138.5,-6.0,signal
MES,2025-02-17 10:15:00-05:00,2025-02-17 12:50:00-05:00,1,6140.25,6145.5,25.25,signal
MES,2025-02-17 12:55:00-05:00,2025-02-18 09:30:00-05:00,1,6145.75,6140.5,-27.25,reverse
MES,2025-02-18 09:30:00-05:00,2025-02-18 09:35:00-05:00,-1,6140.5,6142.25,-9.75,signal
MES,2025-02-18 09:40:00-05:00,2025-02-18 11:10:00-05:00,-1,6136.25,6138.75,-13.5,signal
MES,2025-02-18 12:15:00-05:00,2025-02-18 13:00:00-05:00,-1,6133.75,6140.75,-36.0,stop
MES,2025-02-18 13:10:00-05:00,2025-02-18 15:05:00-05:00,-1,6135.5,6132.5,14.0,signal
MES,2025-02-18 15:55:00-05:00,2025-02-19 09:30:00-05:00,1,6148.25,6135.0,-67.25,stop
MES,2025-02-19 10:10:00-05:00,2025-02-19 10:15:00-05:00,-1,6130.25,6133.5,-17.25,signal
MES,2025-02-19 11:10:00-05:00,2025-02-19 12:45:00-05:00,1,6146.5,6147.5,4.0,signal
MES,2025-02-19 13:35:00-05:00,2025-02-19 15:40:00-05:00,1,6153.0,6157.0,19.0,signal
MES,2025-02-20 09:30:00-05:00,2025-02-20 12:15:00-05:00,-1,6145.5,6120.5,124.0,signal
MES,2025-02-20 13:20:00-05:00,2025-02-20 13:40:00-05:00,-1,6110.75,6119.0,-42.25,stop
MES,2025-02-20 13:45:00-05:00,2025-02-20 14:05:00-05:00,-1,6116.5,6121.5,-26.0,signal
MES,2025-02-21 09:45:00-05:00,2025-02-21 11:50:00-05:00,-1,6118.0,6094.75,115.25,signal
MES,2025-02-21 12:15:00-05:00,2025-02-21 15:50:00-05:00,-1,6087.0,6034.25,262.75,signal
