symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
MES,2025-02-04 10:10:00-05:00,2025-02-04 12:25:00-05:00,1,6050.0,6043.0,-36.0,stop
MES,2025-02-04 13:35:00-05:00,2025-02-04 15:30:00-05:00,1,6054.25,6058.25,19.0,signal
MES,2025-02-05 12:00:00-05:00,2025-02-06 10:55:00-05:00,1,6074.5,6089.75,75.25,signal
MES,2025-02-06 11:30:00-05:00,2025-02-06 12:30:00-05:00,1,6097.75,6095.25,-13.5,signal
MES,2025-02-06 12:55:00-05:00,2025-02-06 13:55:00-05:00,1,6100.25,6095.25,-26.0,signal
MES,2025-02-07 09:30:00-05:00,2025-02-07 10:00:00-05:00,1,6114.25,6089.0,-127.25,stop
MES,2025-02-07 15:00:00-05:00,2025-02-10 09:30:00-05:00,-1,6046.25,6075.75,-148.5,stop
MES,2025-02-10 10:00:00-05:00,2025-02-10 11:35:00-05:00,1,6082.5,6083.25,2.75,signal
MES,2025-02-10 13:00:00-05:00,2025-02-10 15:20:00-05:00,1,6088.75,6089.75,4.0,signal
MES,2025-02-11 11:05:00-05:00,2025-02-11 11:25:00-05:00,1,6087.25,6085.25,-11.0,signal
MES,2025-02-11 11:35:00-05:00,2025-02-11 11:50:00-05:00,1,6088.25,6081.75,-33.5,stop
MES,2025-02-11 14:00:00-05:00,2025-02-11 14:10:00-05:00,1,6087.75,6084.25,-18.5,signal
MES,2025-02-11 14:20:00-05:00,2025-02-11 15:55:00-05:00,1,6087.25,6092.25,24.0,signal
MES,2025-02-12 10:00:00-05:00,2025-02-12 10:15:00-05:00,-1,6037.25,6051.25,-71.0,stop
MES,2025-02-12 10:20:00-05:00,2025-02-12 10:35:00-05:00,-1,6057.75,6066.75,-46.0,stop
MES,2025-02-12 14:10:00-05:00,2025-02-12 14:30:00-05:00,-1,6065.75,6073.0,-37.25,stop
MES,2025-02-12 14:35:00-05:00,2025-02-12 14:45:00-05:00,-1,6073.5,6081.0,-38.5,stop
MES,2025-02-13 09:55:00-05:00,2025-02-13 11:55:00-05:00,1,6086.75,6099.25,61.5,signal
MES,2025-02-13 13:55:00-05:00,2025-02-14 11:15:00-05:00,1,6110.75,6133.75,114.0,signal
MES,2025-02-14 13:30:00-05:00,2025-02-14 14:50:00-05:00,1,6139.0,6135.75,-17.25,signal
MES,2025-02-17 10:05:00-05:00,2025-02-17 10:10:00-05:00,1,6139.5,6138.5,-6.0,signal
MES,2025-02-17 10:15:00-05:00,2025-02-17 12:50:00-05:00,1,6140.25,6145.5,25.25,signal
MES,2025-02-17 12:55:00-05:00,2025-02-18 09:30:00-05:00,1,6145.75,6140.5,-27.25,signal
MES,2025-02-19 11:10:00-05:00,2025-02-19 12:45:00-05:00,1,6146.5,6147.5,4.0,signal
MES,2025-02-19 13:35:00-05:00,2025-02-19 15:40:00-05:00,1,6153.0,6157.0,19.0,signal
MES,2025-02-20 10:00:00-05:00,2025-02-20 10:15:00-05:00,-1,6115.75,6122.75,-36.0,stop
MES,2025-02-20 10:20:00-05:00,2025-02-20 12:15:00-05:00,-1,6122.0,6120.5,6.5,signal
MES,2025-02-20 13:20:00-05:00,2025-02-20 13:40:00-05:00,-1,6110.75,6119.0,-42.25,stop
MES,2025-02-20 13:45:00-05:00,2025-02-20 14:05:00-05:00,-1,6116.5,6121.5,-26.0,signal
MES,2025-02-21 10:00:00-05:00,2025-02-21 11:50:00-05:00,-1,6111.5,6094.75,82.75,signal
MES,2025-02-21 12:15:00-05:00,2025-02-21 15:50:00-05:00,-1,6087.0,6034.25,262.75,signal
MES,2025-02-24 10:00:00-05:00,2025-02-24 10:10:00-05:00,-1,6003.25,6019.5,-82.25,stop
MES,2025-02-24 10:15:00-05:00,2025-02-24 10:20:00-05:00,-1,6012.75,6021.0,-42.25,stop
MES,2025-02-24 10:25:00-05:00,2025-02-24 11:15:00-05:00,-1,6009.0,6019.25,-52.25,stop
MES,2025-02-24 11:20:00-05:00,2025-02-24 11:25:00-05:00,-1,6021.5,6030.75,-47.25,stop
MES,2025-02-24 14:50:00-05:00,2025-02-25 11:55:00-05:00,-1,6027.25,5960.75,331.5,signal
MES,2025-02-25 12:00:00-05:00,2025-02-25 12:10:00-05:00,-1,5956.0,5956.25,-2.25,signal
MES,2025-02-25 14:20:00-05:00,2025-02-25 14:30:00-05:00,-1,5961.0,5968.25,-37.25,stop
MES,2025-02-25 14:35:00-05:00,2025-02-25 14:40:00-05:00,-1,5979.5,5982.5,-16.0,signal
MES,2025-02-26 14:00:00-05:00,2025-02-26 14:20:00-05:00,-1,5952.0,5961.5,-48.5,stop
MES,2025-02-26 14:25:00-05:00,2025-02-26 14:30:00-05:00,-1,5960.75,5966.5,-29.75,signal
MES,2025-02-26 14:55:00-05:00,2025-02-26 15:05:00-05:00,-1,5954.5,5961.75,-37.25,stop
MES,2025-02-27 10:15:00-05:00,2025-02-27 10:20:00-05:00,-1,5972.25,5983.75,-58.5,stop
MES,2025-02-27 10:25:00-05:00,2025-02-27 11:15:00-05:00,-1,5981.25,5985.75,-23.5,signal
MES,2025-02-27 11:45:00-05:00,2025-02-27 13:10:00-05:00,-1,5964.75,5973.25,-43.5,stop
MES,2025-02-27 14:15:00-05:00,2025-02-28 10:25:00-05:00,-1,5951.25,5907.5,217.75,signal
MES,2025-02-28 12:00:00-05:00,2025-02-28 12:05:00-05:00,-1,5890.25,5892.5,-12.25,signal
MES,2025-02-28 12:30:00-05:00,2025-02-28 14:10:00-05:00,-1,5890.5,5868.5,109.0,signal
MES,2025-03-03 14:15:00-05:00,2025-03-03 14:20:00-05:00,-1,5907.25,5911.75,-23.5,signal
MES,2025-03-03 14:25:00-05:00,2025-03-03 14:30:00-05:00,-1,5907.75,5917.75,-51.0,stop
MES,2025-03-03 14:50:00-05:00,2025-03-04 11:50:00-05:00,-1,5891.0,5781.0,549.0,signal
MES,2025-03-05 10:00:00-05:00,2025-03-05 10:05:00-05:00,-1,5805.5,5809.75,-22.25,signal
MES,2025-03-05 10:10:00-05:00,2025-03-05 12:20:00-05:00,-1,5804.0,5801.25,12.75,signal
MES,2025-03-06 10:00:00-05:00,2025-03-06 10:05:00-05:00,-1,5781.25,5792.5,-57.25,stop
MES,2025-03-06 10:10:00-05:00,2025-03-06 10:15:00-05:00,-1,5793.25,5799.5,-32.25,stop
