symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
MES,2025-02-03 11:00:00-05:00,2025-02-03 11:05:00-05:00,1,6022.0,6015.75,-32.25,stop
MES,2025-02-03 11:10:00-05:00,2025-02-03 11:25:00-05:00,1,6028.0,6021.75,-32.25,stop
MES,2025-02-03 11:30:00-05:00,2025-02-03 11:40:00-05:00,1,6031.0,6024.75,-32.25,stop
MES,2025-02-03 11:45:00-05:00,2025-02-03 11:55:00-05:00,1,6027.0,6020.75,-32.25,stop
MES,2025-02-03 12:00:00-05:00,2025-02-03 12:15:00-05:00,1,6018.0,6019.75,7.75,signal
MES,2025-02-03 13:30:00-05:00,2025-02-03 13:40:00-05:00,1,6029.75,6023.5,-32.25,stop
MES,2025-02-03 13:45:00-05:00,2025-02-03 15:30:00-05:00,1,6031.0,6032.5,6.5,signal
MES,2025-02-04 10:10:00-05:00,2025-02-04 12:25:00-05:00,1,6050.0,6043.75,-32.25,stop
MES,2025-02-04 13:35:00-05:00,2025-02-04 15:30:00-05:00,1,6054.25,6058.25,19.0,signal
MES,2025-02-05 12:00:00-05:00,2025-02-05 12:20:00-05:00,1,6074.5,6068.25,-32.25,stop
MES,2025-02-05 12:25:00-05:00,2025-02-05 15:55:00-05:00,1,6070.0,6086.0,79.0,session_eod
MES,2025-02-06 09:30:00-05:00,2025-02-06 09:55:00-05:00,1,6100.25,6094.0,-32.25,stop
MES,2025-02-06 10:00:00-05:00,2025-02-06 10:35:00-05:00,1,6094.75,6088.5,-32.25,stop
MES,2025-02-06 10:40:00-05:00,2025-02-06 10:45:00-05:00,1,6091.25,6085.0,-32.25,stop
MES,2025-02-06 10:50:00-05:00,2025-02-06 10:55:00-05:00,1,6092.25,6089.75,-13.5,signal
MES,2025-02-06 11:30:00-05:00,2025-02-06 11:45:00-05:00,1,6097.75,6091.5,-32.25,stop
MES,2025-02-06 11:50:00-05:00,2025-02-06 12:00:00-05:00,1,6097.75,6091.5,-32.25,stop
MES,2025-02-06 12:05:00-05:00,2025-02-06 12:30:00-05:00,1,6093.75,6095.25,6.5,signal
MES,2025-02-06 12:55:00-05:00,2025-02-06 13:55:00-05:00,1,6100.25,6094.0,-32.25,stop
MES,2025-02-07 09:30:00-05:00,2025-02-07 10:00:00-05:00,1,6114.25,6108.0,-32.25,stop
MES,2025-02-07 15:00:00-05:00,2025-02-07 15:35:00-05:00,-1,6046.25,6052.5,-32.25,stop
MES,2025-02-07 15:40:00-05:00,2025-02-07 15:50:00-05:00,-1,6047.5,6053.75,-32.25,stop
MES,2025-02-07 15:55:00-05:00,2025-02-07 15:55:00-05:00,-1,6049.0,6049.5,-3.5,session_eod
MES,2025-02-10 10:00:00-05:00,2025-02-10 11:35:00-05:00,1,6082.5,6083.25,2.75,signal
MES,2025-02-10 13:00:00-05:00,2025-02-10 15:20:00-05:00,1,6088.75,6089.75,4.0,signal
MES,2025-02-11 11:00:00-05:00,2025-02-11 11:55:00-05:00,1,6086.5,6080.25,-32.25,stop
MES,2025-02-11 14:00:00-05:00,2025-02-11 15:55:00-05:00,1,6087.75,6092.25,21.5,signal
MES,2025-02-12 10:00:00-05:00,2025-02-12 10:05:00-05:00,-1,6037.25,6043.5,-32.25,stop
MES,2025-02-12 10:10:00-05:00,2025-02-12 10:15:00-05:00,-1,6036.5,6042.75,-32.25,stop
MES,2025-02-12 10:20:00-05:00,2025-02-12 10:35:00-05:00,-1,6057.75,6064.0,-32.25,stop
MES,2025-02-12 14:10:00-05:00,2025-02-12 14:25:00-05:00,-1,6065.75,6072.0,-32.25,stop
MES,2025-02-12 14:30:00-05:00,2025-02-12 14:45:00-05:00,-1,6072.5,6078.75,-32.25,stop
MES,2025-02-13 09:55:00-05:00,2025-02-13 10:05:00-05:00,1,6086.75,6080.5,-32.25,stop
MES,2025-02-13 10:10:00-05:00,2025-02-13 11:55:00-05:00,1,6091.25,6099.25,39.0,signal
MES,2025-02-13 13:55:00-05:00,2025-02-13 15:55:00-05:00,1,6110.75,6135.0,120.25,session_eod
MES,2025-02-14 09:30:00-05:00,2025-02-14 11:15:00-05:00,1,6136.25,6133.75,-13.5,signal
MES,2025-02-14 13:30:00-05:00,2025-02-14 14:50:00-05:00,1,6139.0,6135.75,-17.25,signal
MES,2025-02-17 10:05:00-05:00,2025-02-17 10:10:00-05:00,1,6139.5,6138.5,-6.0,signal
MES,2025-02-17 10:15:00-05:00,2025-02-17 12:50:00-05:00,1,6140.25,6145.5,25.25,signal
MES,2025-02-17 12:55:00-05:00,2025-02-17 12:55:00-05:00,1,6145.75,6145.25,-3.5,session_eod
MES,2025-02-19 09:30:00-05:00,2025-02-19 10:00:00-05:00,1,6135.5,6129.25,-32.25,stop
MES,2025-02-19 11:00:00-05:00,2025-02-19 12:45:00-05:00,1,6140.0,6147.5,36.5,signal
MES,2025-02-19 13:35:00-05:00,2025-02-19 15:40:00-05:00,1,6153.0,6157.0,19.0,signal
